id,value
Comunidades,
Comunidades.comunidad1,
Comunidades.comunidad1.e1,100
Comunidades.comunidad2,
Comunidades.comunidad2.e5,100
Comunidades.comunidad2.e2,100
Comunidades.comunidad3,
Comunidades.comunidad3.e4,100
Comunidades.comunidad3.e3,100
Comunidades.comunidad4,
Comunidades.comunidad4.e14,100
Comunidades.comunidad4.e6,100
Comunidades.comunidad5,
Comunidades.comunidad5.e7,100
Comunidades.comunidad6,
Comunidades.comunidad6.e8,100
Comunidades.comunidad7,
Comunidades.comunidad7.e9,100
Comunidades.comunidad8,
Comunidades.comunidad8.e10,100
Comunidades.comunidad9,
Comunidades.comunidad9.e11,100
Comunidades.comunidad10,
Comunidades.comunidad10.e12,100
Comunidades.comunidad11,
Comunidades.comunidad11.e13,100
Comunidades.comunidad12,
Comunidades.comunidad12.e15,100
Comunidades.comunidad13,
Comunidades.comunidad13.e16,100
